ID_origen;L_ORIGEM;ID_DESTINO;L_DESTINO;DISTANCIA;TEMPO
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçaoartur-alvim;Artur Alvim  Cidade Antonio Estevão de Carvalho  Sao Paulo - São Paulo  Brazil;21884;16453
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao patriarca;Patriarca  São Paulo  Brazil;3386;2485
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao guilhermina-esperanca;Estação Guilhermina - Esperança  São Paulo  Brazil;16518;12239
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-matilde;Estação Vila Matilde  São Paulo  Brazil;14970;11198
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao penha;Penha  Penha de Franca  Sao Paulo - São Paulo  Brazil;12749;9636
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao carrao;Carrão  Tatuapé  Sao Paulo - São Paulo  Brazil;9718;7288
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao tatuape;Estação Tatuape  São Paulo  Brazil;10110;7519
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao belem;Metrô Belém - Avenida Alcântara Machado  Belenzinho  Sao Paulo - São Paulo  Brazil;8473;6224
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao bresser-mooca;Bresser-mooca  Brás  Sao Paulo - São Paulo  Brazil;6732;4961
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao bras;Bras  Brás  Sao Paulo - São Paulo  Brazil;6171;4547
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao pedro-II;Pedro II  São Paulo  Brazil;4099;2985
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao anhangabau;Anhangabaú  Consolacao  Sao Paulo - São Paulo  Brazil;3157;2375
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao republica;República  Sao Paulo - São Paulo  Brazil;3369;2530
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santa-cecilia;Santa Cecília  São Paulo  Brazil;4199;3069
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao marechal-deodoro;Marechal Deodoro  São Paulo  Brazil;10829;8251
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao barra-funda;Barra Funda  São Paulo  Brazil;5343;3861
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao paulista;Estação Paulista do Metro  São Paulo  Brazil;1487;1172
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao faria-lima;Faria Lima  Pinheiros  Sao Paulo - São Paulo  Brazil;4813;3510
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao pinheiros;Estação Pinheiros De Metrô - Rua Gilberto Sabino  Pinheiros  Sao Paulo - São Paulo  Brazil;5645;4124
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao butanta;Estação Butanta metro - Avenida Vital Brasil  Butantã  Sao Paulo - São Paulo  Brazil;6627;4912
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao capao-redondo;Capão Redondo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;19746;15027
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao campo-limpo;Campo Limpo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;18336;13931
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-belezas;Estação Vila das Belezas - Rua Inácio Preto de Morais  Vila Nova das Belezas  Sao Paulo - São Paulo  Brazil;15585;11794
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao giovanni-gronchi;Giovanni Gronchi  Jardim Mirante  Sao Paulo - São Paulo  Brazil;14278;10788
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santo-amaro;Santo Amaro  Jardim São Luís (Zona Oeste)  Sao Paulo - São Paulo  Brazil;15127;11543
ACL11;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao argo-treze;Largo Treze  Santo Amaro  Sao Paulo - São Paulo  Brazil;12461;9405
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao jabaquara;Term. Jabaquara  São Paulo  Brazil;10269;7710
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao conceicao;Conceição  Vila Guarani  Sao Paulo - São Paulo  Brazil;9979;7386
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-judas;São Judas  São Paulo  Brazil;7932;5918
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao saude;Saúde  Sao Paulo - São Paulo  Brazil;6967;5198
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao praca-arvore;Praça Da Árvore  São Paulo  Brazil;6065;4542
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santa-cruz;Santa Cruz  São Paulo  Brazil;4719;3549
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-mariana;Vila Mariana  São Paulo  Brazil;3738;2843
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao ana-rosa;Ana Rosa  São Paulo  Brazil;2664;2042
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao paraiso;Estação Paraíso  São Paulo  Brazil;2007;1560
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vergueiro;Vergueiro  São Paulo  Brazil;5155;3784
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sao-joaquim;São Joaquim  São Paulo  Brazil;2222;1658
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçaoliberdade;Estação Liberdade do Metro  São Paulo  Brazil;3043;2222
ACL22;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao se;Praça da Sé  Centro  Sao Paulo - São Paulo  Brazil;3243;2391
